,original_title,release_date,revenue,runtime,vote_average,Animation,Comedy,Horror,Western,Thriller,Crime,Romance,History,Fantasy,ScienceFiction,Action,Mystery,Family,Drama,Adventure
0,Toy Story,1995,373554033.0,81.0,7.7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Jumanji,1995,262797249.0,104.0,6.9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,Grumpier Old Men,1995,0.0,101.0,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Waiting to Exhale,1995,81452156.0,127.0,6.1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4,Father of the Bride Part II,1995,76578911.0,106.0,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Heat,1995,187436818.0,170.0,7.7,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
6,Sabrina,1995,0.0,127.0,6.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Tom and Huck,1995,0.0,97.0,5.4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
8,Sudden Death,1995,64350171.0,106.0,5.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
9,GoldenEye,1995,352194034.0,130.0,6.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
10,The American President,1995,107879496.0,106.0,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
11,Dracula: Dead and Loving It,1995,0.0,88.0,5.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Balto,1995,11348324.0,78.0,7.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
13,Nixon,1995,13681765.0,192.0,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14,Cutthroat Island,1995,10017322.0,119.0,5.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,Casino,1995,116112375.0,178.0,7.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
16,Sense and Sensibility,1995,135000000.0,136.0,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17,Four Rooms,1995,4300000.0,98.0,6.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Ace Ventura: When Nature Calls,1995,212385533.0,90.0,6.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
19,Money Train,1995,35431113.0,103.0,5.4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
20,Get Shorty,1995,115101622.0,105.0,6.4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
21,Copycat,1995,0.0,124.0,6.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,Assassins,1995,30303072.0,132.0,6.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
23,Powder,1995,0.0,111.0,6.3,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
24,Leaving Las Vegas,1995,49800000.0,112.0,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25,Othello,1995,0.0,123.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Now and Then,1995,27400000.0,100.0,6.6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
27,Persuasion,1995,0.0,104.0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28,La Cité des Enfants Perdus,1995,1738611.0,108.0,7.6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
29,摇啊摇，摇到外婆桥,1995,0.0,108.0,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30,Dangerous Minds,1995,180000000.0,99.0,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,Twelve Monkeys,1995,168840000.0,129.0,7.4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
32,"Guillaumet, les ailes du courage",1996,0.0,50.0,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,Babe,1995,254134910.0,89.0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
34,Carrington,1995,0.0,121.0,6.4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
35,Dead Man Walking,1995,39363635.0,122.0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,Across the Sea of Time,1995,0.0,51.0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
37,It Takes Two,1995,0.0,101.0,6.1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
38,Clueless,1995,0.0,97.0,6.9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
39,"Cry, the Beloved Country",1995,676525.0,106.0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Richard III,1995,0.0,104.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,Dead Presidents,1995,0.0,119.0,6.6,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
42,Restoration,1995,0.0,117.0,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
43,Mortal Kombat,1995,122195920.0,101.0,5.4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
44,To Die For,1995,21284514.0,106.0,6.7,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
45,How To Make An American Quilt,1995,23574130.0,116.0,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46,Se7en,1995,327311859.0,127.0,8.1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
47,Pocahontas,1995,346079773.0,81.0,6.7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
48,When Night Is Falling,1995,0.0,96.0,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
49,The Usual Suspects,1995,23341568.0,106.0,8.1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
50,Guardian Angel,1994,0.0,93.0,6.3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
51,Mighty Aphrodite,1995,6700000.0,95.0,6.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
52,Lamerica,1994,0.0,116.0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,The Big Green,1995,0.0,100.0,5.2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
54,Georgia,1995,0.0,115.0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,Kids of the Round Table,1997,0.0,89.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Home for the Holidays,1995,17519169.0,103.0,6.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
57,Il postino,1994,0.0,108.0,7.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
